file_name,x,y,confidence,subtlety,obscuration
0221.png,1542.5,645.5,3.0,5.0,1.25
0222.png,620.25,847.25,2.25,2.0,2.0
0230.png,495.0,912.0,2.0,3.0,2.0
0230.png,664.0,928.0,1.5,1.0,3.0
0230.png,1358.0,827.0,2.0,3.0,2.0
0232.png,276.0,639.0,1.0,,
0232.png,588.0,1153.0,1.0,,
0233.png,613.0,614.5,1.5,2.0,2.0
0233.png,1300.5,709.5,1.5,3.0,2.0
0234.png,1473.25,1354.5,1.75,2.0,1.5
0235.png,941.0,1018.5,1.0,,
0235.png,207.0,1555.0,1.0,,
0235.png,725.0,679.0,2.0,2.0,2.0
0236.png,956.0,1091.3333333333333,1.0,,
0236.png,1593.0,519.0,2.0,1.0,3.0
0242.png,1627.0,606.75,3.0,5.0,1.25
0243.png,556.0,1467.6666666666667,1.6666666666666667,2.5,1.5
0243.png,593.0,1196.0,1.0,,
0245.png,465.25,1023.0,1.25,1.0,2.0
0246.png,1293.25,965.5,1.25,3.0,2.0
0247.png,520.25,800.5,1.75,4.0,1.0
0248.png,1653.0,1644.5,1.75,2.5,2.5
0250.png,1457.0,715.0,2.0,5.0,2.0
0250.png,1567.0,746.0,3.0,3.0,2.0
0250.png,1442.0,775.0,3.0,3.0,1.0
0251.png,488.0,1004.75,1.25,2.0,1.0
0255.png,561.5,1334.5,1.5,2.0,3.0
0255.png,1401.0,845.5,1.5,3.0,1.0
0256.png,485.0,1152.0,1.0,,
0256.png,788.6666666666666,1252.6666666666667,1.6666666666666667,2.0,1.5
0257.png,817.5,1098.75,1.5,2.5,1.5
0258.png,1303.5,715.0,1.5,2.0,1.0
0258.png,1464.0,624.0,2.0,1.0,2.5
0264.png,574.3333333333334,880.3333333333334,3.0,4.666666666666667,1.6666666666666667
0264.png,1024.0,1403.0,1.0,,
0265.png,864.25,408.5,1.5,2.0,2.5
0266.png,507.0,567.5,3.0,5.0,1.5
0267.png,862.5,365.0,1.0,,
0267.png,483.0,1493.0,2.0,1.0,2.5
0268.png,815.25,822.75,1.75,2.0,2.5
0270.png,1320.5,835.5,1.75,1.6666666666666667,2.0
0271.png,1377.0,1155.75,1.75,2.0,2.0
0272.png,727.5,708.75,1.0,,
0274.png,394.25,918.0,3.0,4.25,2.0
0275.png,492.0,1087.75,1.5,3.0,1.0
0276.png,776.3333333333334,1008.0,1.0,,
0276.png,1488.0,1253.0,2.0,2.0,2.0
0277.png,454.5,339.75,2.75,4.5,1.25
0278.png,525.0,1119.5,1.0,,
0278.png,459.5,747.0,2.0,1.0,2.0
0280.png,482.0,404.0,1.25,1.0,2.0
0281.png,1384.75,1214.5,2.5,3.5,2.25
0282.png,566.0,1146.0,1.5,2.0,2.0
0282.png,1629.0,860.0,2.0,3.0,1.0
0283.png,1279.75,688.25,1.5,2.5,1.5
0285.png,1372.6666666666667,667.6666666666666,1.3333333333333333,2.0,2.0
0285.png,1881.0,1236.0,2.0,3.0,2.0
0286.png,1408.0,576.0,2.0,4.0,1.0
0286.png,1487.5,1418.5,2.5,4.0,2.5
0287.png,638.75,514.25,1.25,2.0,2.0
